transaction_id;transaction_date;transaction_time;transaction_qty;store_id;product_id;customer_id;employee_id;payment_methods_id
50;01/01/2023;9:14:25;1;8;46;18202;5;3
51;01/01/2023;9:14:41;1;8;32;29051;6;3
52;01/01/2023;9:15:09;2;5;47;35740;3;3
53;01/01/2023;9:15:13;2;5;43;29681;3;2
54;01/01/2023;9:19:21;2;5;25;20604;3;1
55;01/01/2023;9:19:26;1;8;59;520;6;1
56;01/01/2023;9:21:08;1;5;38;21531;4;3
57;01/01/2023;9:22:17;1;8;45;15906;5;2
58;01/01/2023;9:22:46;1;5;34;47228;4;1
59;01/01/2023;9:29:56;2;8;36;37013;6;2
60;01/01/2023;9:29:56;1;8;74;23129;6;3
61;01/01/2023;9:29:57;1;8;53;10122;5;1
62;01/01/2023;9:34:17;2;8;41;17100;5;3
63;01/01/2023;9:40:13;1;5;41;16318;3;2
64;01/01/2023;9:41:22;2;5;45;26892;4;3
65;01/01/2023;9:41:22;1;5;79;35372;3;3
66;01/01/2023;9:44:20;2;5;54;18255;4;1
67;01/01/2023;9:44:46;1;5;24;19083;4;1
68;01/01/2023;9:46:46;2;5;37;10383;3;3
69;01/01/2023;9:47:40;2;8;40;7105;6;1
70;01/01/2023;9:50:44;2;5;37;17342;4;3
71;01/01/2023;9:50:44;1;5;69;6690;4;2
72;01/01/2023;9:52:58;1;5;50;9584;4;2
73;01/01/2023;9:53:28;1;8;47;5636;6;1
74;01/01/2023;9:53:44;2;8;40;36138;6;3
75;01/01/2023;9:53:44;1;8;72;33834;6;3
76;01/01/2023;9:53:49;1;8;35;24420;6;2
77;01/01/2023;9:54:46;1;5;23;28657;3;2
78;01/01/2023;9:55:16;2;5;43;26091;4;1
79;01/01/2023;9:56:30;1;8;22;26570;5;2
80;01/01/2023;10:00:39;2;8;32;24236;6;2
81;01/01/2023;10:03:55;2;8;36;35786;5;2
82;01/01/2023;10:14:49;1;5;26;19235;4;2
83;01/01/2023;10:14:49;1;5;71;45003;4;3
84;01/01/2023;10:16:30;2;5;32;46425;4;2
85;01/01/2023;10:16:33;1;8;54;40007;6;1
86;01/01/2023;10:18:14;2;8;41;9732;5;3
87;01/01/2023;10:18:52;2;5;25;29789;4;1
88;01/01/2023;10:19:42;2;5;23;8624;3;3
89;01/01/2023;10:24:19;1;8;54;5098;6;2
90;01/01/2023;10:25:22;2;8;56;3898;5;1
91;01/01/2023;10:25:45;2;5;58;36323;3;3
92;01/01/2023;10:25:45;1;5;74;41000;3;1
93;01/01/2023;10:27:48;2;8;47;21861;5;3
94;01/01/2023;10:30:07;1;5;35;45308;3;2
95;01/01/2023;10:30:07;1;5;70;8914;4;1
96;01/01/2023;10:35:47;1;8;60;45761;6;2
97;01/01/2023;10:41:53;1;5;59;38332;3;3
98;01/01/2023;10:47:53;2;5;36;25889;3;2
99;01/01/2023;10:49:13;2;8;51;49771;6;1
100;01/01/2023;10:49:51;2;5;61;49291;4;3
101;01/01/2023;10:51:17;1;5;47;33430;4;2
102;01/01/2023;10:52:44;2;8;23;4895;5;3
103;01/01/2023;10:52:44;1;8;73;38838;6;2
104;01/01/2023;10:56:14;1;5;38;35339;4;2
105;01/01/2023;10:56:14;1;5;76;48218;3;1
106;01/01/2023;11:01:48;1;3;22;26072;4;2
107;01/01/2023;11:01:58;1;3;38;42477;4;3
108;01/01/2023;11:01:58;1;3;75;47097;5;3
109;01/01/2023;11:03:25;2;5;47;7319;5;3
110;01/01/2023;11:03:25;1;5;75;38768;6;2
111;01/01/2023;11:04:32;2;8;39;35507;6;2
112;01/01/2023;11:08:11;1;3;59;31949;5;2
113;01/01/2023;11:08:59;2;8;51;20795;5;2
114;01/01/2023;11:09:01;1;3;59;34409;6;2
115;01/01/2023;11:10:21;1;3;47;20328;6;3
116;01/01/2023;11:10:21;1;3;79;48629;6;2
117;01/01/2023;11:10:58;1;3;46;14170;6;3
118;01/01/2023;11:12:29;1;3;43;20006;5;1
119;01/01/2023;11:16:02;2;3;45;48251;6;2
120;01/01/2023;11:21:00;2;8;54;46985;6;2
121;01/01/2023;11:21:04;2;5;51;10643;3;1
122;01/01/2023;11:21:14;1;3;60;8717;2;2
123;01/01/2023;11:23:01;1;8;31;25590;5;3
124;01/01/2023;11:23:43;2;5;60;24441;4;3
125;01/01/2023;11:23:43;1;5;77;17173;3;2
126;01/01/2023;11:25:35;2;3;49;25547;2;3
127;01/01/2023;11:25:37;2;5;40;38663;4;1
128;01/01/2023;11:28:15;2;8;44;11348;6;1
129;01/01/2023;11:28:29;2;3;33;25258;1;1
130;01/01/2023;11:29:25;2;5;56;9432;4;2
131;01/01/2023;11:29:57;2;8;35;39378;6;1
132;01/01/2023;11:29:57;1;8;78;46363;5;2
133;01/01/2023;11:30:22;1;8;23;37330;5;1
134;01/01/2023;11:31:35;1;8;24;46583;6;1
135;01/01/2023;11:31:43;2;5;51;83;3;2
136;01/01/2023;11:31:43;1;5;72;36018;4;3
137;01/01/2023;11:31:53;2;5;54;23469;3;2
138;01/01/2023;11:31:53;1;5;75;11458;4;1
139;01/01/2023;11:39:14;1;5;60;49874;3;3
140;01/01/2023;11:39:14;1;5;71;15117;3;1
141;01/01/2023;11:40:26;2;3;52;37429;2;1
142;01/01/2023;11:43:57;2;3;25;22966;1;1
143;01/01/2023;11:44:09;1;5;38;31337;3;2
144;01/01/2023;11:47:13;1;3;30;39010;2;1
145;01/01/2023;11:48:56;2;8;50;1173;5;1
146;01/01/2023;11:49:42;1;8;54;21769;5;3
147;01/01/2023;11:49:42;1;8;72;11119;5;1
148;01/01/2023;11:50:16;2;3;26;11413;2;3
149;01/01/2023;11:50:23;2;3;36;43626;2;3
150;01/01/2023;11:50:58;2;5;45;15860;3;3
151;01/01/2023;11:51:30;2;8;33;7316;5;2
152;01/01/2023;11:52:31;1;5;57;4137;3;1
153;01/01/2023;11:57:17;2;3;37;28891;2;1
154;01/01/2023;11:57:59;1;3;50;49835;2;2
155;01/01/2023;11:57:59;1;3;79;40886;2;2
156;01/01/2023;11:58:15;2;3;60;15042;2;2
157;01/01/2023;12:00:20;1;5;29;39662;4;1
158;01/01/2023;12:01:00;2;3;49;5481;2;3
159;01/01/2023;12:01:20;2;3;35;23388;2;3
160;01/01/2023;12:01:20;1;3;75;29366;1;2
161;01/01/2023;12:03:09;1;8;36;17875;5;2
162;01/01/2023;12:03:38;1;8;47;41235;5;2
163;01/01/2023;12:03:43;1;3;44;43567;2;3
164;01/01/2023;12:04:22;2;8;27;47722;5;1
165;01/01/2023;12:05:31;2;3;52;8539;2;1
166;01/01/2023;12:06:29;1;5;46;19267;4;1
167;01/01/2023;12:07:42;1;8;24;5112;5;2
168;01/01/2023;12:08:21;1;5;43;1906;4;1
169;01/01/2023;12:08:36;1;8;35;39112;5;2
170;01/01/2023;12:09:11;2;3;28;36507;2;3
171;01/01/2023;12:09:12;2;8;50;37198;6;3
172;01/01/2023;12:13:07;2;5;38;33764;4;1
173;01/01/2023;12:14:26;2;8;35;43497;5;1
174;01/01/2023;12:17:38;2;8;50;5616;6;3
175;01/01/2023;12:18:07;2;5;25;37250;4;3
176;01/01/2023;12:18:44;2;3;49;21015;2;2
177;01/01/2023;12:20:16;2;3;60;1051;2;2
178;01/01/2023;12:23:39;1;3;24;18152;1;2
179;01/01/2023;12:27:06;2;5;41;31651;3;1
180;01/01/2023;12:30:46;2;3;44;29945;2;2
181;01/01/2023;12:30:49;1;8;38;15104;5;1
182;01/01/2023;12:33:20;2;3;54;35984;2;1
183;01/01/2023;12:33:35;2;3;29;41365;1;1
184;01/01/2023;12:35:53;2;5;31;7039;3;2
185;01/01/2023;12:36:57;1;8;60;29652;6;2
186;01/01/2023;12:38:28;2;8;49;48858;6;1
187;01/01/2023;12:42:26;1;3;53;11526;1;1
188;01/01/2023;12:44:01;1;8;60;31950;5;3
189;01/01/2023;12:44:31;1;3;53;47303;1;1
190;01/01/2023;12:44:32;1;3;52;26805;2;3
191;01/01/2023;12:45:52;2;3;28;4729;2;1
192;01/01/2023;12:46:22;1;3;56;45031;2;1
193;01/01/2023;12:46:26;1;3;23;18847;1;2
194;01/01/2023;12:46:55;1;3;33;8868;1;2
195;01/01/2023;12:46:55;1;3;75;27648;2;3
196;01/01/2023;12:48:08;2;3;38;17293;2;2
197;01/01/2023;12:49:48;1;8;30;34688;6;1
198;01/01/2023;12:50:15;1;3;59;21196;2;2
199;01/01/2023;12:50:28;2;3;32;27766;2;2
200;01/01/2023;12:51:21;1;8;53;872;5;3
201;01/01/2023;12:51:57;1;5;61;18214;3;3
202;01/01/2023;12:51:57;1;5;72;28099;4;1
203;01/01/2023;12:52:18;1;5;56;40825;3;2
204;01/01/2023;12:52:18;1;5;75;33369;3;1
205;01/01/2023;12:53:11;2;8;29;31556;5;1
206;01/01/2023;12:53:59;1;8;37;36675;6;3
207;01/01/2023;12:55:25;1;3;49;20496;2;2
208;01/01/2023;12:55:27;1;5;57;48386;3;3
209;01/01/2023;12:55:27;1;5;75;37000;4;3
210;01/01/2023;12:55:36;1;8;45;16611;6;1
211;01/01/2023;12:55:53;2;8;26;23997;6;1
212;01/01/2023;12:56:33;1;3;61;27798;2;2
213;01/01/2023;12:56:59;1;3;47;5613;2;1
214;01/01/2023;12:58:54;2;3;44;36835;2;2
215;01/01/2023;12:59:06;1;8;36;41330;5;3
216;01/01/2023;13:00:38;2;5;30;14076;3;1
217;01/01/2023;13:01:33;2;5;25;36938;3;2
218;01/01/2023;13:02:40;1;8;49;4615;5;3
219;01/01/2023;13:02:40;1;8;78;49164;6;3
220;01/01/2023;13:02:52;1;8;26;24378;5;3
221;01/01/2023;13:03:13;2;3;43;37115;1;2
222;01/01/2023;13:04:01;2;8;25;44377;5;3
223;01/01/2023;13:04:01;1;8;72;41379;6;1
224;01/01/2023;13:04:22;2;8;42;13871;5;1
225;01/01/2023;13:04:37;2;8;54;12569;5;3
226;01/01/2023;13:04:51;1;3;22;9232;2;2
227;01/01/2023;13:05:56;1;3;58;39411;1;2
228;01/01/2023;13:07:37;2;5;24;22561;4;2
229;01/01/2023;13:09:03;1;3;35;2968;1;3
230;01/01/2023;13:12:03;2;5;30;18472;3;2
231;01/01/2023;13:13:09;1;5;60;11644;3;2
232;01/01/2023;13:17:30;1;8;56;6542;6;2
233;01/01/2023;13:17:32;2;3;55;38344;1;2
234;01/01/2023;13:18:34;2;8;49;39522;5;3
235;01/01/2023;13:19:09;1;8;55;21335;5;1
236;01/01/2023;13:19:09;1;8;75;41060;6;2
237;01/01/2023;13:19:36;1;3;23;44481;2;3
238;01/01/2023;13:19:56;2;8;31;9270;6;3
239;01/01/2023;13:20:51;2;3;35;7667;1;3
240;01/01/2023;13:21:23;2;3;38;24603;1;3
241;01/01/2023;13:22:11;1;5;23;45743;4;3
242;01/01/2023;13:22:45;2;3;46;31392;1;2
243;01/01/2023;13:23:54;2;3;58;7294;1;2
244;01/01/2023;13:24:29;2;5;60;17036;3;2
245;01/01/2023;13:30:49;2;5;31;41706;4;3
246;01/01/2023;13:32:07;2;5;25;10024;3;1
247;01/01/2023;13:32:34;1;5;87;27211;4;2
248;01/01/2023;13:34:12;2;3;28;19665;1;2
249;01/01/2023;13:38:09;1;8;27;46521;5;1
250;01/01/2023;13:38:11;2;8;40;46510;5;3
251;01/01/2023;13:39:41;1;5;51;41134;4;1
252;01/01/2023;13:40:47;2;3;54;37337;2;3
253;01/01/2023;13:41:09;2;3;42;24152;1;1
254;01/01/2023;13:42:10;1;3;43;4498;1;1
255;01/01/2023;13:42:49;1;5;36;18668;4;3
256;01/01/2023;13:42:58;1;5;52;40011;4;1
257;01/01/2023;13:42:58;1;5;72;19068;4;2
258;01/01/2023;13:43:18;2;3;54;20146;1;3
259;01/01/2023;13:43:18;1;3;69;27263;2;2
260;01/01/2023;13:43:41;2;5;25;33811;3;2
261;01/01/2023;13:44:26;1;3;57;12785;2;3
262;01/01/2023;13:47:51;1;8;40;26291;6;2
263;01/01/2023;13:49:03;2;8;22;10938;5;1
264;01/01/2023;13:50:09;1;5;53;36081;3;3
265;01/01/2023;13:50:47;2;8;54;42290;6;1
266;01/01/2023;13:51:56;2;8;32;6390;5;1
267;01/01/2023;13:53:04;2;3;38;47818;2;1
268;01/01/2023;13:53:31;1;8;33;324;6;3
269;01/01/2023;13:54:18;2;8;22;43547;5;2
270;01/01/2023;13:55:04;1;5;42;854;3;1
271;01/01/2023;13:55:50;2;8;45;38639;6;2
272;01/01/2023;13:56:15;2;8;48;350;6;3
273;01/01/2023;13:56:24;1;8;53;34424;5;2
274;01/01/2023;13:57:34;2;5;27;21469;4;2
275;01/01/2023;13:57:34;1;5;71;27448;4;1
276;01/01/2023;13:58:10;2;3;46;22540;2;3
277;01/01/2023;13:58:11;1;5;34;48320;3;2
278;01/01/2023;13:59:58;2;5;39;7092;3;3
279;01/01/2023;14:03:34;2;5;25;16274;3;1
280;01/01/2023;14:03:34;1;5;69;31621;3;3
281;01/01/2023;14:03:41;1;3;32;45165;2;1
282;01/01/2023;14:07:12;2;3;41;10657;1;3
283;01/01/2023;14:07:56;1;3;23;40372;1;1
284;01/01/2023;14:08:03;1;8;24;15587;5;1
285;01/01/2023;14:08:03;1;8;71;13701;5;1
286;01/01/2023;14:11:14;2;8;60;30685;6;3
287;01/01/2023;14:13:28;2;5;57;32776;4;3
288;01/01/2023;14:19:57;2;5;23;35790;3;1
289;01/01/2023;14:20:06;2;3;35;17582;1;3
290;01/01/2023;14:20:08;2;3;42;36222;2;1
291;01/01/2023;14:22:01;2;8;49;8465;5;3
292;01/01/2023;14:22:38;2;5;39;5395;3;1
293;01/01/2023;14:23:28;1;8;55;30687;5;3
294;01/01/2023;14:23:28;1;8;71;15841;6;1
295;01/01/2023;14:24:55;2;3;41;23278;2;2
296;01/01/2023;14:24:55;1;3;79;14893;2;1
297;01/01/2023;14:25:32;2;3;58;32520;2;3
298;01/01/2023;14:25:39;2;5;24;20677;4;1
299;01/01/2023;14:26:36;1;8;61;31704;6;2
300;01/01/2023;14:29:05;2;5;45;22926;3;3
301;01/01/2023;14:29:50;2;5;49;45723;4;1
302;01/01/2023;14:29:50;1;5;78;34968;3;3
303;01/01/2023;14:30:51;1;8;48;35380;6;2
304;01/01/2023;14:30:58;1;5;57;16133;4;2
305;01/01/2023;14:31:26;1;5;42;43393;4;3
306;01/01/2023;14:32:20;2;8;30;28252;5;2
307;01/01/2023;14:32:42;2;5;41;34083;3;1
308;01/01/2023;14:32:54;2;8;39;17966;5;1
309;01/01/2023;14:35:47;1;3;55;9867;1;3
310;01/01/2023;14:36:23;2;3;30;49512;2;3
311;01/01/2023;14:36:35;1;5;57;41110;3;1
312;01/01/2023;14:37:48;1;5;44;36322;3;2
313;01/01/2023;14:39:06;1;5;87;5005;4;3
314;01/01/2023;14:39:48;2;8;34;1929;6;3
315;01/01/2023;14:42:39;2;5;61;23915;3;1
316;01/01/2023;14:43:13;2;3;50;47350;2;1
317;01/01/2023;14:45:31;1;3;47;28781;2;3
318;01/01/2023;14:46:09;1;8;48;29942;6;1
319;01/01/2023;14:47:29;1;8;24;47590;6;2
320;01/01/2023;14:47:29;1;8;75;9170;5;2
321;01/01/2023;14:49:49;2;8;51;1228;6;3
322;01/01/2023;14:51:19;2;5;43;4818;3;3
323;01/01/2023;14:55:34;2;3;34;8068;1;2
324;01/01/2023;14:58:07;2;8;30;31604;5;1
325;01/01/2023;14:58:35;1;3;43;31982;1;1
326;01/01/2023;15:02:04;2;3;39;4347;1;2
327;01/01/2023;15:02:28;1;8;38;6941;6;3
328;01/01/2023;15:06:27;2;5;25;10276;4;1
329;01/01/2023;15:08:28;2;3;43;20910;1;2
330;01/01/2023;15:09:37;1;3;22;38662;2;1
331;01/01/2023;15:09:54;1;8;61;22628;5;3
332;01/01/2023;15:10:10;1;5;40;24649;4;2
333;01/01/2023;15:10:10;1;5;75;39974;3;2
334;01/01/2023;15:12:22;1;3;24;27432;1;1
335;01/01/2023;15:12:54;2;3;52;36481;1;3
336;01/01/2023;15:14:19;2;3;26;25305;2;3
337;01/01/2023;15:16:37;2;5;38;22189;3;3
338;01/01/2023;15:18:56;1;3;61;38716;2;3
339;01/01/2023;15:19:34;1;3;29;38053;2;3
340;01/01/2023;15:21:05;2;8;30;16484;6;3
341;01/01/2023;15:22:11;2;3;39;7582;1;1
342;01/01/2023;15:24:01;1;8;26;28316;5;3
343;01/01/2023;15:25:09;2;5;50;39283;4;3
344;01/01/2023;15:27:11;2;3;58;3511;1;1
345;01/01/2023;15:28:29;1;3;58;48200;2;2
346;01/01/2023;15:28:54;1;5;43;31546;4;3
347;01/01/2023;15:29:24;1;3;57;15574;2;3
348;01/01/2023;15:29:24;1;3;70;27951;2;3
349;01/01/2023;15:30:16;1;3;43;13471;1;3
350;01/01/2023;15:30:27;2;3;31;24726;2;1
351;01/01/2023;15:30:58;1;5;34;42191;4;2
352;01/01/2023;15:30:58;2;8;29;43178;5;1
353;01/01/2023;15:33:36;2;5;28;39156;4;1
354;01/01/2023;15:33:36;1;5;74;17750;4;1
355;01/01/2023;15:34:10;2;3;41;48056;2;1
356;01/01/2023;15:34:10;1;3;76;2547;1;1
357;01/01/2023;15:36:59;2;5;37;19286;3;2
358;01/01/2023;15:39:44;1;8;44;38361;5;2
359;01/01/2023;15:42:20;1;3;36;34507;2;2
360;01/01/2023;15:45:16;2;3;46;33461;2;1
361;01/01/2023;15:46:34;2;5;40;32973;4;2
362;01/01/2023;15:51:15;2;8;35;6684;5;2
363;01/01/2023;15:52:23;2;5;39;19163;3;2
364;01/01/2023;15:52:23;1;5;69;35822;3;3
365;01/01/2023;15:53:55;2;5;33;34629;3;1
366;01/01/2023;15:55:45;1;8;24;26876;6;3
367;01/01/2023;15:55:50;2;3;31;46271;1;3
368;01/01/2023;15:58:55;1;8;48;29715;6;3
369;01/01/2023;16:00:23;1;8;38;15958;5;3
370;01/01/2023;16:02:07;1;8;41;42150;6;1
371;01/01/2023;16:03:30;2;3;34;23710;2;2
372;01/01/2023;16:03:54;1;8;46;17615;5;2
373;01/01/2023;16:04:10;2;3;42;38444;1;2
374;01/01/2023;16:06:04;2;3;23;42486;1;3
375;01/01/2023;16:07:20;2;3;23;33433;1;3
376;01/01/2023;16:08:59;2;3;42;29460;1;1
377;01/01/2023;16:10:37;2;3;42;25187;1;1
378;01/01/2023;16:12:00;1;8;87;19940;5;3
379;01/01/2023;16:17:06;2;3;34;22965;1;2
380;01/01/2023;16:17:52;2;3;29;11655;1;2
381;01/01/2023;16:19:00;2;8;29;44285;6;1
382;01/01/2023;16:19:17;1;3;56;27787;2;3
383;01/01/2023;16:19:26;2;5;40;18934;3;2
384;01/01/2023;16:20:07;2;3;36;4735;2;3
385;01/01/2023;16:22:07;1;5;22;15940;4;1
386;01/01/2023;16:22:38;1;3;22;24628;2;1
387;01/01/2023;16:25:28;1;3;44;31008;1;3
388;01/01/2023;16:27:42;1;5;56;28682;4;3
389;01/01/2023;16:28:00;2;8;53;37869;5;3
390;01/01/2023;16:28:57;1;5;42;14173;3;3
391;01/01/2023;16:29:36;2;3;27;10718;1;3
392;01/01/2023;16:30:12;1;3;40;12683;2;3
393;01/01/2023;16:33:35;1;3;35;38303;2;1
394;01/01/2023;16:35:11;1;5;28;34672;4;1
395;01/01/2023;16:39:24;1;3;36;34726;2;2
396;01/01/2023;16:39:27;1;8;58;41687;5;2
397;01/01/2023;16:40:18;1;3;33;27838;1;1
398;01/01/2023;16:40:19;1;5;46;45228;4;2
399;01/01/2023;16:41:51;1;5;23;31944;4;2
400;01/01/2023;16:43:33;2;8;50;2642;6;1
401;01/01/2023;16:44:46;2;3;54;2005;1;3
402;01/01/2023;16:47:05;1;5;44;43047;3;3
403;01/01/2023;16:47:05;1;5;72;18149;4;2
404;01/01/2023;16:48:31;2;5;44;8330;4;2
405;01/01/2023;16:49:19;1;5;53;35224;4;3
406;01/01/2023;16:49:19;1;5;71;29936;3;1
407;01/01/2023;16:49:38;1;3;52;11388;2;2
408;01/01/2023;16:52:13;2;8;42;36849;5;2
409;01/01/2023;16:52:51;1;5;50;48173;4;3
410;01/01/2023;16:56:48;1;3;28;31625;2;3
411;01/01/2023;16:58:42;1;3;58;31912;1;1
412;01/01/2023;16:58:42;1;3;69;40224;1;2
413;01/01/2023;17:01:03;2;5;36;36036;4;2
414;01/01/2023;17:01:31;2;8;50;44363;6;3
415;01/01/2023;17:03:21;1;3;50;26686;2;2
416;01/01/2023;17:05:44;2;3;36;46427;1;2
417;01/01/2023;17:09:18;2;8;47;15537;5;1
418;01/01/2023;17:10:34;1;3;27;32862;2;3
419;01/01/2023;17:10:35;1;3;59;46061;1;3
420;01/01/2023;17:11:58;2;8;36;10620;6;1
421;01/01/2023;17:13:17;2;5;31;49851;3;1
422;01/01/2023;17:16:17;1;8;35;23964;6;2
423;01/01/2023;17:17:19;2;8;55;39953;5;3
424;01/01/2023;17:17:22;1;8;31;36857;5;3
425;01/01/2023;17:18:36;1;3;29;20539;2;1
426;01/01/2023;17:19:08;2;5;34;48490;4;1
427;01/01/2023;17:19:08;1;5;75;38068;3;1
428;01/01/2023;17:19:11;2;8;39;30668;6;3
429;01/01/2023;17:19:28;2;8;28;14188;5;1
430;01/01/2023;17:19:49;2;8;87;32137;6;2
431;01/01/2023;17:19:49;1;8;78;6757;5;3
432;01/01/2023;17:20:02;2;8;46;17831;6;3
433;01/01/2023;17:20:02;1;8;77;22217;5;2
434;01/01/2023;17:22:36;1;3;36;14942;2;3
435;01/01/2023;17:23:03;1;5;48;46875;3;2
436;01/01/2023;17:23:04;1;3;41;37839;2;2
437;01/01/2023;17:25:45;2;3;58;13262;2;3
438;01/01/2023;17:26:15;1;8;35;17779;5;1
439;01/01/2023;17:26:15;1;8;76;6235;5;1
440;01/01/2023;17:28:42;1;5;37;39575;4;2
441;01/01/2023;17:28:42;1;5;70;9998;3;2
442;01/01/2023;17:29:25;1;3;46;27690;1;3
443;01/01/2023;17:29:25;1;3;75;22516;1;2
444;01/01/2023;17:34:47;2;8;54;20316;5;3
445;01/01/2023;17:35:26;1;3;47;26819;1;3
446;01/01/2023;17:35:26;1;3;69;22023;1;1
447;01/01/2023;17:37:26;1;8;42;31692;5;3
448;01/01/2023;17:40:50;1;3;55;38973;2;1
449;01/01/2023;17:41:55;2;3;55;23416;1;2
450;01/01/2023;17:41:55;1;3;71;7374;2;1
451;01/01/2023;17:43:49;2;8;52;28912;6;1
452;01/01/2023;17:44:28;2;3;27;969;1;3
453;01/01/2023;17:44:28;1;3;74;10866;2;3
454;01/01/2023;17:44:48;1;8;34;15694;5;2
455;01/01/2023;17:45:21;1;8;27;11876;6;3
456;01/01/2023;17:46:21;2;8;36;8718;5;1
457;01/01/2023;17:46:21;1;8;76;38180;6;1
458;01/01/2023;17:49:04;2;8;60;22038;5;2
459;01/01/2023;17:50:19;1;5;45;29571;3;1
460;01/01/2023;17:50:30;2;8;38;38350;5;2
461;01/01/2023;17:51:06;2;3;60;32589;2;3
462;01/01/2023;17:54:11;2;3;56;39593;2;1
463;01/01/2023;17:56:46;1;8;30;3069;5;2
464;01/01/2023;17:58:01;1;5;39;12329;4;2
465;01/01/2023;17:59:44;2;8;53;19201;5;2
466;01/01/2023;17:59:44;1;8;76;12494;5;1
467;01/01/2023;18:01:08;2;8;45;7762;5;2
468;01/01/2023;18:02:00;1;3;52;41376;2;2
469;01/01/2023;18:02:21;2;5;49;5697;3;3
470;01/01/2023;18:03:13;1;3;28;43022;2;1
471;01/01/2023;18:03:13;1;3;78;19000;1;1
472;01/01/2023;18:04:34;1;3;28;24529;1;3
473;01/01/2023;18:06:52;2;3;30;4279;2;3
474;01/01/2023;18:06:52;1;3;79;48084;1;1
475;01/01/2023;18:07:13;1;8;23;29383;5;2
476;01/01/2023;18:08:53;2;3;34;36585;2;3
477;01/01/2023;18:12:37;2;3;25;2002;2;2
478;01/01/2023;18:13:32;2;5;23;2751;4;2
479;01/01/2023;18:13:41;2;8;57;12066;5;2
480;01/01/2023;18:14:28;2;8;26;7787;6;2
481;01/01/2023;18:17:09;2;8;36;23556;5;3
482;01/01/2023;18:18:10;1;3;59;8632;1;1
483;01/01/2023;18:19:45;1;5;52;28755;4;2
484;01/01/2023;18:19:45;1;5;76;4507;3;2
485;01/01/2023;18:21:22;1;3;46;49224;1;3
486;01/01/2023;18:22:12;2;3;61;34406;1;3
487;01/01/2023;18:22:48;2;5;37;22216;4;3
488;01/01/2023;18:22:53;1;3;32;30412;2;2
489;01/01/2023;18:22:53;1;3;79;39982;1;1
490;01/01/2023;18:23:34;2;5;53;1681;4;2
491;01/01/2023;18:25:51;1;3;61;30687;1;1
492;01/01/2023;18:25:57;1;8;43;37407;6;1
493;01/01/2023;18:27:08;2;5;54;7417;3;2
494;01/01/2023;18:29:34;2;8;44;18776;6;3
495;01/01/2023;18:30:05;2;3;55;36196;2;2
496;01/01/2023;18:34:56;2;3;60;37148;1;2
